orth,translation
CE SOIR OUEST PLUIE IX BAVIÈRE RÉGION INCENDIE BOURG RÉGION CLAIR ÉTOILES PEUVENT VOIR RÉGION PARTIELLEMENT BROUILLARD,"dans la nuit, il pleut dans la moitié nord-ouest du pays. en certains endroits, de la Bavière au Brandebourg, le ciel est partiellement dégagé et le brouillard s'étend par endroits"
AM-DAY OUEST EST ET SUEDEST poss-SEIN AIMABLE SOLEIL NORD-OUEST ALORS PLUIE VENDRE,"dans la journée, le temps est assez agréable dans l'est et le sud-est, à l'exception de quelques brumes, mais il pleut par endroits dans la moitié nord-ouest. la pluie se propage lentement vers l'est"
VENT FAIBLE MODÉRÉ,"le vent est faible, parfois modéré"
CETTE NUIT IX TEMPÉRATURE SIX À UN DEGRÉ CLAIR LES ÉTOILES PEUVENT VOIR JUSQU'À MOINS UN DEGRÉ,"cette nuit, températures entre six et un degré lorsque le ciel se dégage jusqu'à moins trois degrés"
CINQ À DIX SUD À DOUZE DEGRÉS,"le jour, cinq à dix degrés dans le sud, jusqu'à douze degrés"
JEUDI APRÈS MIDI ET SOIR OUEST FORTE PLUIE VENIR AVEC TEMPÊTE,"jeudi après-midi et soir, des pluies parfois fortes arriveront de l'ouest et seront accompagnées de rafales de vent."
VENDREDI PLUIE SURTOUT NORD TEMPÊTE,"vendredi, averses de pluie, tempête surtout dans le nord"
SAMEDI ENSUITE NORD PLUIE RÉGION AGRÉABLE ET PARFOIS ÉNORMÉMENT DOUX,"samedi, il pleut surtout dans le nord dans le sud, le temps est partiellement agréable et très doux"
DEMAIN TEMPS COMMENT-APPARAÎTRE LUNDI TRENTE MAI,et maintenant les prévisions météo pour demain lundi 30 mai
DEMAIN À NOUVEAU HAUTE PRESSION VENIR SOLEIL CHAUD AUSSI TEMPÉRATURE AUGMENTER,"Demain encore, une forte pression atmosphérique apportera du soleil et, avec l'air chaud, une hausse des températures."
IX UN PEU BAS VENIR,mais une nouvelle dépression s'approche de l'Atlantique
MARDI LE PLUS SOUVENT EST RÉGION PLUIE VENT PEUVENT,"et mardi, il faut s'attendre à des intempéries, surtout dans la moitié est de l'Allemagne."
NORD CETTE NUIT RÉGION NUAGEUSE PARFOIS UN PEU DE PLUIE,"dans le nord, le ciel sera nuageux cette nuit avec quelques pluies par endroits"
SUD RÉGION PEU DE NUAGES DISPARAISSENT IX AUSSI DES ÉTOILES PEUVENT VOIR,"plus au sud, seulement quelques nuages en de nombreux endroits, le ciel est également clair"
UN PEU DE BROUILLARD,un brouillard se forme ici et là
DEMAIN NORD CIEL NUAGEUX SINON IX GÉNÉRALEMENT SOLEIL,"dans le nord, des nuages encore plus denses demain, sinon le soleil brille sur une grande partie du territoire"
APRÈS MIDI SOIR RÉGION SURTOUT MONTAGNE PEUVENT AVOIR UN PEU DE PLUIE,"l'après-midi et le soir, averses et orages isolés, parfois violents, dans l'ouest et le sud, surtout sur les régions montagneuses"
ALLGAEU AUJOURD'HUI CINQ DEGRÉS RÉGION ROSTOCK IX HAMBOURG JUSQU'À QUATORZE DEGRÉS,"dans l'allgäu cette nuit, cinq degrés frais à rostock et hambourg jusqu'à quatorze degrés"
DEMAIN VINGT À HUIT VINGT DEGRÉS RIVIÈRE RÉGION NEUF VINGT À UN TRENTE DEGRÉS,demain températures de vingt à vingt-huit le long du rhin vingt-neuf à trente-et-un degrés
MARDI OUEST DESCENDRE FROID VENIR PLUIE ORAGE IX AUSSI FORTE PLUIE,"mardi, le temps sera nettement plus frais dans l'ouest et des averses et des orages nous traverseront, avec un potentiel d'intempéries locales, surtout dans la moitié est."
MÊME SOLEIL PRINTEMPS JOUR BEAU MAINTENANT NORD PLUS TEMPÊTE,"après une journée printanière assez uniformément ensoleillée et douce, le temps se rafraîchit un peu, surtout dans le Nord"
RÉGION SCANDINAVIE VIENNENT AUSSI PLUIE UN PEU PRINTEMPS DÉBUT NORD LAC DISPARAISSENT PEUT-ÊTRE DISPARAISSENT MILIEU EUROPE BEAUCOUP DE PLUIE PAS NON,"Il y a de l'air plus frais avec cette dépression qui se déplace vers la Scandinavie, un peu de pluie qui pourrait au moins lessiver les cendres volcaniques au-dessus de la mer du Nord, et beaucoup de pluie, mais pas en Europe centrale dans son ensemble."
RESTER JUSQU'À JEUDI STROMEN,"Quoi qu'il en soit, nous resterons dans ce courant de nord-ouest jusqu'à jeudi inclus."
AUJOURD'HUI NUIT ICI PAYS DE L'ALLEMAGNE BEAUCOUP DE PERDURE negalp-AUCH SCHAUER IX SCHAUER MORGEN FRUEH NORDWEST,"chez nous, peu de choses cette nuit, quelques averses isolées vers demain, puis à nouveau dans le nord-ouest"
CALME CLAIR CIEL VOIR PEU TEMPÉRATURE FROID MOINS,"et avec cette nuit claire, il y a déjà des températures légèrement négatives dans le nord-est."
NORD RAISONNABLEMENT HUIT DEGRÉS DIX ONZE DEGRÉS,"et demain, surtout dans le nord, les températures maximales se situeront entre huit et dix onze degrés."
SUD RÉGION IX DIX-HUIT DEGRÉS ENCORE,"dans le sud, par exemple dans le breisgau, il fait encore au moins dix-huit degrés"
EN COURS NORD FROID NÉGATIF PLUIES VENT PLUIES,et les prochains jours apporteront au nord un temps d'avril vraiment inconfortable avec du vent et des averses
AUSSI FROID,il fait aussi plus frais en conséquence
ALLEMAGNE PAYS MOYENNE CENT SEPT VINGT POUR CENT DOIT PLEUVOIR SUR,"dans toute l'allemagne, en moyenne cent vingt-sept pour cent de la quantité prévue sont tombés"
SEULEMENT W MUND TROIS ÉTÉ TROIS MOIS TROIS MOIS JUSQU'À PRÉSENT PLUS DE PLUIE QU'UN AN,"Rien qu'à rostock warnemünde, il est tombé plus de pluie pendant les trois mois d'été que pendant toute l'année."
NUIT IM-MOMENT ÉNORME FROID PEU DE PLUIE LAC IX ENCORE DE LA PLUIE MAIS,"les nuits sont actuellement très fraîches avec quelques averses de pluie, même sur la côte"
SINON RÉGION CALME TEMPS MILIEU RÉGION PLUS SEULEMENT IX À NEUF DEGRÉS ENTRE,sinon le temps est calme et les températures sont généralement à un chiffre
IX PLUS DE NUAGES PLUS DE SOLEIL PEU DE FOIS UN PEU D'AVERSES,"Demain, il y aura plus de nuages que de soleil dans le nord."
MILIEU SUD ENTRE PLUS DE SOLEIL SOUVENT,"en direction du centre et du sud, les parts de soleil sont nettement plus importantes le soleil brille souvent"
MONTAGNE IX POSSIBLE UN PEU DE PLUIE,"dans la région alpine, il peut y avoir des averses isolées"
DERNIÈRE JOURNÉE D'ÉTÉ DEMAIN UNE PETITE TEMPÉRATURE D'ÉTÉ PAS PLUS NÉGATIVE,"et la dernière journée d'été, pour ainsi dire, se terminera demain avec des températures peu estivales, surtout dans le nord."
IX CRÉER QUATRE VINGT DEGRÉS,"dans le sud, jusqu'à vingt-quatre degrés tout de même"
"MAIS LE JOUR SUIVANT, L'ÉTÉ REVIENT ENCORE UNE FOIS JUSQU'AU WEEK-END","mais dans les prochains jours, l'été sera de retour jusqu'au week-end"
NORD IX PLUS CHAUD MAIS ENSUITE PLUS DE PLUIE ORAGES,"dans le nord également, plus de chaleur mais aussi plus d'averses et d'orages"
MAINTENANT MÉTÉO FINI BON SOIR ENCORE poss-EUCH,C'est tout pour la météo. Bonne soirée.
BON SOIR CHER SPECTATEUR SALUER,bonsoir chers spectateurs
TEMPS MAIS EN-FIN PLUS FROID,il n'y a pas beaucoup de temps mais il fait de plus en plus froid chez nous
EN CE MOMENT NORD-EST PROCHE DE LA RUSSIE,"et ce froid s'accumule actuellement dans le nord-est de l'Europe, au-dessus de la Russie."
GELER MOINS DIX DEGRÉS MAXIMUM,"Demain, nous aurons des températures maximales de moins dix à moins vingt degrés."
ENORME,et ce froid a encore un ami influent on peut dire
AUSSI VENIR HAUTE PRESSION VENIR EST VENIR VENTS FROIDS MILIEU EUROPE IN-KOMMEND,une forte zone de haute pression ici et qui amène de l'air un peu plus froid de l'est vers l'Europe centrale avec le vent d'est dans les prochains jours
ICI NORD ALLEMAGNE REMARQUER DÈS AUJOURD'HUI AUJOURD'HUI TÔT JUSQU'À APRÈS MIDI DESCENDRE,Nous l'avons déjà constaté aujourd'hui dans le nord de l'Allemagne où les températures ont baissé tôt le matin jusqu'à l'après-midi.
CONTINUER À BAISSER GEL MOINS SEPT MOINS HUIT DEGRÉS,et ils vont continuer à baisser gel il fait moins sept moins huit degrés
EN ARRIVANT ENCORE FROID SUD-OUEST PEU DE GEL ZÉRO À MOINS DEUX DEGRÉS DANGER VERGLAS NEIGE PLUIE,"il peut faire encore plus froid en partie, et même dans le sud-ouest, il peut geler légèrement entre zéro et moins deux degrés il peut devenir très glissant cette nuit car nous attendons de la neige légère et des pluies dans les plaines"
RÉGION POUVOIR PLUIE,"dans le Rhin supérieur, il peut pleuvoir"
RÉGION COUVERTE RÉGION UN PEU DE NEIGE PLUIE NORD-EST,sinon ciel voilé sur la plus grande partie de l'Allemagne un peu de neige peut-être encore au nord-est de l'elbe
SINON SOLEIL RÉGION OUEST SEMBLABLE À AUJOURD'HUI,et quelques rayons de soleil vont certainement sortir à l'ouest comme aujourd'hui
EN PLUS EST VENT FROID MONTRER-ÉCRAN NORD-EST MOINS CINQ MOINS SEPT DEGRÉS MAXIMUM,"Nous avons en plus un fort vent d'est sur les côtes et toujours le froid, un froid glacial, surtout dans le nord-est de l'Allemagne où la température maximale est de moins cinq à moins sept degrés."
ICI ALLEMAGNE IX SUD-OUEST SE LEVER DEUX À CINQ DEGRÉS,léger dégel dans le sud-ouest deux à cinq degrés
RÉGION EST À NOUVEAU RESTER FORT EN ARRIVANT,et ces hauts contrastes de température que nous gardons pour les prochains jours
À PARTIR DE SAMEDI NOUVELLE NEIGE PLUIE,"à partir de samedi, la neige et la pluie seront au rendez-vous"
BELLE SOIRÉE FAIRE BIEN SOUHAITER,Je vous souhaite une bonne soirée et je vous dis à bientôt.
MAINTENANT DEMAIN TEMPS COMMENT-APPARAÎTRE VENDREDI SEPTIÈME OCTOBRE,"et maintenant les prévisions météo pour demain, vendredi 7 octobre."
FROID VENIR ALLEMAND PAYS COMPLET,de l'air plus frais en provenance des latitudes polaires se répand dans toute l'allemagne
RÉGION VENIR PLUIE VENT VARIABLE,elle s'accompagne d'un temps variable avec des averses et beaucoup de vent
EN ARRIVANT AUSSI FROID TEMPS CHANGEANT,et un temps instable nous attend dans les jours à venir
MAIS EN-VENANT À PARTIR DE DIMANCHE TEMPÉRATURE EN HAUSSE DOUX,mais le temps redeviendra plus doux à partir de dimanche.
CETTE NUIT PLUIE VIENNENT IX DISPARAISSENT AUSSI,"dans la nuit, une zone pluvieuse se déplace sur la moitié sud-est du pays ; dans les autres parties du pays, le temps se détend parfois"
JOUR JOUR IX NUAGE CIEL PLUIE SOLEIL À GRISAILLE ORAGE,"pendant la journée, nuages denses, un peu de soleil, quelques averses parfois accompagnées de grésil ou d'orages"
CETTE NUIT DIX DEGRÉS NORD QUATRE DEGRÉS SAUER LAND,"cette nuit, dix degrés à la mer du Nord et quatre degrés dans le Sauerland"
JOUR HUIT DEGRÉS RÉGION SINON RÉGION DIX À QUINZE DEGRÉS,"huit degrés dans les Alpes le jour, dix à quinze degrés le reste du temps"
SAMEDI PEUT NUAGE LE PLUS SOUVENT RÉGION AVERSE,samedi beaucoup de nuages quelques averses
RÉGION PLUIE PRÉCOCE MONTAGNE PLUIE,"dans la moitié sud-ouest, il pleut plus longtemps dans les Alpes et de manière abondante"
NEIGE LIMITE À CENT MÈTRES,la limite des chutes de neige se situe à un millier de mètres
DIMANCHE EST AGRÉABLE SOLEIL OUEST À NOUVEAU PLUIE,"dimanche, moments agréables à l'est, mais nouvelles pluies à l'ouest"
OUI LUNDI GLOBALEMENT VARIABLE BEAUCOUP DE VENT,"lundi, temps globalement instable avec beaucoup de vent"
DIMANCHE NORD AIR VENIR DOUX,"le dimanche, de l'air atlantique doux suivra"
NORD-OUEST AUJOURD'HUI RÉGION PLUIE NORD-EST PEU DE PLUIE SI TROIS CENTS CINQ CENTS MÈTRES DE NEIGE NEIGE,"au nord-ouest, averses locales cette nuit au sud-est, un peu de pluie au début, et de la neige au-dessus de trois cents à cinq cents mètres d'altitude"
RÉGION NUAGE BROUILLARD PARTIE CLAIRE,"dans le reste du pays, en partie nuageux ou brumeux, en partie clair"
EST DEMAIN UN PEU DE BROUILLARD SOLEIL EN MÊME TEMPS LE SOIR IX RESTER PASSER SEC,"Demain, le soleil fera son apparition dans l'est du pays et le temps y restera sec jusqu'au soir."
SINON RÉGION BROUILLARD OUEST PLUIE VENIR PLUS TARD EN FAIT EST SUD PLUIE MONTAGNE AUSSI NEIGE SEULEMENT DÉBUT,sinon ciel généralement très nuageux il pleut d'abord dans l'ouest puis plus loin vers l'est et le sud il y a aussi de la neige au début dans les régions montagneuses
CETTE NUIT LIMITE UN ZÉRO LIEU POSSIBLE VERGLAS,"cette nuit, températures proches du point de congélation sur une grande partie du territoire ou légères gelées locales pouvant devenir glissantes"
DEMAIN UN DEGRÉ SUD-EST RHEIN DIX DEGRÉS,"demain, les températures varieront d'un degré dans le sud-est de la Bavière à dix degrés dans la région du Rhin inférieur"
MAINTENANT TEMPS COMMENT-APPARAÎTRE DEMAIN MARDI DEUXIÈME DOUZIÈME J+U+L+I,"et maintenant les prévisions météo pour demain, mardi 12 juillet"
NORD ANGLETERRE VENIR HAUT VENIR DEMAIN TEMPS AGRÉABLE BEAUCOUP DE SOLEIL,le coin d'un anticyclone de l'Atlantique Nord nous offre demain un temps généralement agréable avec beaucoup de soleil
RÉGION ITALIE BAS VIENNENT À PARTIR DE DEMAIN SOIR PLUIE À NOUVEAU ORAGES PEUVENT INTEMPÉRIES AUSSI,La prochaine dépression s'approche de la Biscaye et provoquera à nouveau des averses et des orages à partir de demain soir.
DEMAIN RESTER NUAGE VENIR PEUT AVERSES ORAGE RÉGION SOLEIL,"elles se maintiennent en partie demain et apportent quelques averses ou orages isolés, sinon le soleil brille souvent"
MONTAGNE IX OUEST APRÈS MIDI PEUVENT ÊTRE CHAUDS ORAGES,"sur les montagnes du sud et de l'ouest, quelques orages de chaleur peuvent se développer dans l'après-midi"
SOIR FRANCE AVERSES ORAGES INTEMPÉRIES,"en fin de soirée, des averses et des orages parfois violents arrivent de France"
ORAGE TEMPÊTE NORMALE EST VENTS FAIBLES MODÉRÉS,"à l'exception d'averses et de rafales orageuses, le vent d'est sera faible à modéré demain"
IX HUIT DEGRÉS SEIZE SUD-OUEST,huit degrés cette nuit à la frontière danoise seize au sud-ouest
DEMAIN IX QUATRE VINGT TRENTE NORD UN VINGT À QUATRE VINGT DEGRÉS,là demain à trente-quatre près de la côte vingt-et-un à vingt-quatre degrés
MERCREDI EN-VENANT AVERSES ORAGES PEUVENT ÊTRE INTEMPÉRIES ORAGES,"mercredi, des averses et des orages se propageront vers l'est avec un risque d'intempéries"
JEUDI NORD CÔTE PLUIE VENT RÉGION VARIABLE,"jeudi, pluie et vent sur la côte, sinon temps variable"
VENDREDI NUAGEUX AGRÉABLE CHANGEANT SEULEMENT UN PEU D'AVERSES,vendredi : ciel partiellement nuageux et averses isolées
TEMPS DEMAIN JEUDI NEUF VINGT JUILLET COMMENT-APPARAÎTRE,et maintenant les prévisions météo pour demain jeudi vingt-neuf juillet
CE WEEK-END AGRÉABLE PLUS CHAUD,le week-end sera temporairement plus agréable et plus chaud
CETTE NUIT RÉGION PEUT PLUIE PEUT ORAGE CIEL CLAIR,"cette nuit, il y aura ici et là des averses parfois fortes, au début même quelques orages, sinon le temps sera en partie clair et en partie très nuageux"
SPÉCIAL NORD ALPES NORD ALPES ÉNORMÉMENT DE PLUIE,"des pluies abondantes sont possibles, surtout dans le barrage du nord des Alpes"
NUIT DIX À QUATORZE DEGRÉS NORD SEIZE DEGRÉS,dans la nuit dix à quatorze à la mer jusqu'à seize degrés
DEMAIN SEIZE DEGRÉS ALLGAEU JUSQU'À TROIS VINGT FLEUVE IX,"demain, températures de seize degrés dans l'Allgäu à vingt-trois sur la Spree"
VENDREDI SOLEIL NUAGE CHANGEANT SPÉCIALEMENT SUD PLUIE POUVOIR,"vendredi, le ciel sera tantôt ensoleillé, tantôt nuageux, avec de fortes averses, surtout dans le sud."
MAINTENANT COMMENT-APPARAÎTRE TEMPS DEMAIN MERCREDI TRENTE IX JANVIER,"et maintenant les prévisions météo pour demain, mercredi 30 janvier"
DURÉE PLUIE AIR DOUX DÉGEL RIVIÈRE CRUE PARTICULIÈREMENT MONTAGNE CRUE,"des pluies persistantes et de l'air doux provoquent un dégel qui fait monter le niveau de certaines rivières, surtout en montagne"
INTEMPÉRIES AVERTISSEMENT PARTIE IX,Le service météorologique allemand a émis des avertissements d'intempéries dans certains endroits.
NUIT SURTOUT NORD-EST PLUIE SUD CLAIR PUIS JOURNÉE AUSSI,"dans la nuit, il pleut le plus dans le nord et dans la moitié est dans le sud, il y a aussi des éclaircies dans la journée"
SINON PLUIE VENIR IX VENIR,sinon une bande de pluie se déplace du nord-ouest au sud-est
SI PLUIE ET RÉGION CLAIRE MAIS NORD-OUEST IX PLUIE AUSSI ORAGE IX NORD,"si le ciel est dégagé, le temps se détend ici et là, mais quelques averses sont possibles dans le nord."
VENT FRAIS FORT,le vent est frais à fort
TEMPÊTE ALORS NORD FORTE TEMPÊTE SI MONTAGNE IX RÉGION PEUT OURAGAN,"des rafales de vent sont de la partie dans le nord, voire de fortes rafales de vent sur les montagnes plus élevées, des rafales d'ouragan"
JEUDI AGRÉABLE EN COURS DE ROUTE NOUVELLE PLUIE TEMPÊTE,"jeudi : début de journée agréable, puis nouvelles pluies et vents tempétueux venant de l'ouest"
VENDREDI PARTIE IX PLUIE AVEC VENT,"vendredi, il pleut dans certaines régions et il y a du vent"
SAMEDI PLUIE NEIGE NEIGE IX NORD-OUEST EN COURS PLUS AGRÉABLE,"samedi, il pleuvra ou neigera sur une grande partie du territoire, mais le temps deviendra plus clément dans le nord-ouest"
MAINTENANT PRÉVISION MÉTÉO DEMAIN DIMANCHE QUATRE VINGT OCTOBRE,"et maintenant les prévisions météorologiques pour demain, dimanche 24 octobre"
UNE PAIRE DE JOURS DEUX JOURS ENCORE CHANGEANT,"les deux prochains jours, le temps sera encore incertain."
VENIR FROID C'EST-PLUIE MONTAGNE TRANSFORMER NEIGE,"avec le retour du froid, la pluie se transforme en neige dans les montagnes"
MARDI AGRÉABLE NUIT CLAIR FROID,"à partir de mardi, sous l'influence d'une zone de haute pression, le temps sera plus agréable avec des nuits partiellement claires, mais aussi à nouveau glacial"
CETTE NUIT IX PLUIE SUD-OUEST PLUIE,"cette nuit, de la pluie tombe dans de nombreuses régions, parfois abondante dans le sud-ouest"
DEMAIN NUAGE PARTIE PLUIE AVERSE NORD PLUS FORT,demain aussi beaucoup de nuages par endroits de la pluie ou des averses qui sont aussi fortes dans le nord
FAIRE MONTAGNE LONGUE PLUIE,"en bordure des Alpes, il peut pleuvoir de manière prolongée"
OUEST NORD-OUEST À SAXE INCENDIE NORD AUSSI SOLEIL AUSSI CHANGEANT AVERSES,"dans l'ouest et le nord-ouest jusqu'en Saxe et dans le Brandebourg, le soleil se montre parfois et il n'y a que des averses occasionnelles"
IX NORD VENT VENTS TEMPÊTE,"vent modéré vers le nord, frais à fort, voire tempétueux dans les rafales, de l'ouest au sud-ouest"
DEMAIN RÉGION ALLGAEU FUENF RIVIÈRE RÉGION FUENF,demain cinq degrés en allgäu jusqu'à onze sur le rhin elbe et la saale
LUNDI MONTAGNE PROCHE MAIS PLUIE HAUTE PLUS DE SEPT CENTS MÈTRES NEIGE,"lundi, pluies persistantes près des Alpes, neige au-dessus de 700 mètres d'altitude"
RÉGION BROUILLARD NUAGE NORD LE PLUS SOUVENT AVERSES,"sinon brouillard ou nuages parfois tenaces et averses, surtout dans le nord"
MARDI VENIR PLUS AGRÉABLE PARCE QUE BROUILLARD DISPARAÎTRE,"à partir de mardi, le temps deviendra de plus en plus agréable à partir de l'ouest si les champs de brouillard se dissipent"
MAINTENANT TEMPS COMMENT-APPARAÎTRE DEMAIN SAMEDI TROIS VINGT JANVIER,et maintenant les prévisions météo pour demain samedi vingt-trois janvier
PUIS SAMEDI CALME MÉLANGE BROUILLARD NUAGEUX PEU DE SOLEIL,"samedi aussi, un mélange calme de brouillard, de nuages et de soleil occasionnel nous attend"
AUJOURD'HUI CIEL NÉGATIF NUAGES,"ce soir, le ciel est généralement couvert de nuages"
